Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZ-V6E250BW,Samsung,960 Evo NVMe PCIe M.2 250GB,66,200,165442,https://ssd.userbenchmark.com/SpeedTest/200373/Samsung-SSD-960-EVO-250GB
SSD,WDS250G3X0C,WD,Black SN750 NVMe PCIe M.2 250GB (2019),67,199,2891,https://ssd.userbenchmark.com/SpeedTest/716792/WDS250G3X0C-00SJG0
SSD,MZ-V5P256BW,Samsung,950 NVMe PCIe M.2 256GB,68,199,27655,https://ssd.userbenchmark.com/SpeedTest/38570/NVMe-Samsung-SSD-950
SSD,MZVPV512HDGL-00000,Samsung,SM951 NVMe PCIe M.2 512GB,69,198,7312,https://ssd.userbenchmark.com/SpeedTest/30300/NVMe-SAMSUNG-MZVKV512
SSD,,Samsung,PM961 NVMe PCIe M.2 512GB,70,198,24042,https://ssd.userbenchmark.com/SpeedTest/181300/NVMe-SAMSUNG-MZVLW512
SSD,ASX6000PNP-512GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 512GB,71,197,2309,https://ssd.userbenchmark.com/SpeedTest/594216/ADATA-SX6000PNP
SSD,ASX8200NP-240GT-C,Adata,XPG SX8200 NVMe PCIe M.2 240GB,72,195,5708,https://ssd.userbenchmark.com/SpeedTest/480586/ADATA-SX8200NP
SSD,CSSD-N800GBNX500,Corsair,Neutron NX500 NVMe PCIe 800GB,73,194,58,https://ssd.userbenchmark.com/SpeedTest/369784/Neutron-NX500
SSD,PX-1TM8PeG,Plextor,M8Pe NVMe PCIe M.2 1TB,74,194,269,https://ssd.userbenchmark.com/SpeedTest/175630/PLEXTOR-PX-1TM8PeG
SSD,WDS500G1B0C,WD,Blue SN500 NVMe PCIe M.2 500GB,75,193,5753,https://ssd.userbenchmark.com/SpeedTest/759521/WDC-WDS500G1B0C-00S6U0
SSD,PX-512M8PeG,Plextor,M8Pe NVMe PCIe M.2 512GB,76,193,1331,https://ssd.userbenchmark.com/SpeedTest/169863/PLEXTOR-PX-512M8PeG
SSD,CT500P1SSD8,Crucial,P1 3D NVMe PCIe M.2 500GB,77,193,18383,https://ssd.userbenchmark.com/SpeedTest/614152/CT500P1SSD8
SSD,ZTSSD-PG3-480G-GE,Zotac,Sonix NVMe PCIe 480GB,78,192,188,https://ssd.userbenchmark.com/SpeedTest/131041/NVMe-ZTSSDPG3-480G-GE
SSD,SSDPEDMW400G4X1,Intel,750 Series NVMe PCIe 400GB,79,192,6009,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,SSDPEDMW400G4R5,Intel,750 Series NVMe PCIe 400GB,79,192,6009,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,SSDPEKKW256G8XT,Intel,760p Series NVMe PCIe M.2 256GB,80,192,12473,https://ssd.userbenchmark.com/SpeedTest/434656/INTEL-SSDPEKKW256G8
SSD,,Intel,Optane+ NVMe PCIe 500GB,81,189,526,https://ssd.userbenchmark.com/SpeedTest/268688/Intel-Optane-466GBSSD
SSD,WDS250G2X0C,WD,Black NVMe PCIe M.2 250GB (2018),82,188,5854,https://ssd.userbenchmark.com/SpeedTest/482421/WDS250G2X0C-00L350
SSD,,Intel,Optane+ NVMe PCIe 128GB,83,187,141,https://ssd.userbenchmark.com/SpeedTest/278104/Intel-Optane-119GBSSD
SSD,CSSD-N400GBNX500,Corsair,Neutron NX500 NVMe PCIe 400GB,84,187,285,https://ssd.userbenchmark.com/SpeedTest/331636/Neutron-NX500
SSD,MZHPV512HDGL-00000,Samsung,SM951 AHCI PCIe M.2 512GB,85,186,3325,https://ssd.userbenchmark.com/SpeedTest/24647/SAMSUNG-MZHPV512HDGL-00000
SSD,MZVPV256HDGL-00000,Samsung,SM951 NVMe PCIe M.2 256GB,86,186,6706,https://ssd.userbenchmark.com/SpeedTest/30950/NVMe-SAMSUNG-MZVPV256
SSD,MZVLW256HEHP,Samsung,PM961 NVMe PCIe M.2 256GB,87,182,50704,https://ssd.userbenchmark.com/SpeedTest/174249/SAMSUNG-MZVLW256HEHP-00000
SSD,5XM46AA#ABC,HP,EX900 NVMe PCIe M.2 1TB,88,181,54,https://ssd.userbenchmark.com/SpeedTest/695989/HP-SSD-EX900-1TB
SSD,SKC1000/960G,Kingston,KC1000 NVMe PCIe M.2 960GB,89,180,171,https://ssd.userbenchmark.com/SpeedTest/320126/KINGSTON-SKC1000960G
SSD,RVD400-M22280-256G,Toshiba,OCZ RD400 NVMe PCIe M.2 256GB,90,180,2422,https://ssd.userbenchmark.com/SpeedTest/142093/NVMe-TOSHIBA-RD400
SSD,MZHPV256HDGL-00000,Samsung,SM951 AHCI PCIe M.2 256GB,91,177,4631,https://ssd.userbenchmark.com/SpeedTest/24782/SAMSUNG-MZHPV256HDGL-00000
